ID,team_name,team_name_short,team_id,team_id_pfr,team_conference,team_division,team_conference_pre2002,team_division_pre2002
1,Arizona Cardinals,Cardinals,ARI,CRD,NFC,NFC West,NFC,NFC West
2,Atlanta Falcons,Falcons,ATL,ATL,NFC,NFC South,NFC,NFC West
3,Baltimore Colts,Colts,IND,CLT,AFC,,AFC,AFC East
4,Baltimore Ravens,Ravens,BAL,RAV,AFC,AFC North,AFC,AFC Central
5,Boston Patriots,Patriots,NE,NWE,AFC,,AFC,
6,Buffalo Bills,Bills,BUF,BUF,AFC,AFC East,AFC,AFC East
7,Carolina Panthers,Panthers,CAR,CAR,NFC,NFC South,NFC,NFC West
8,Chicago Bears,Bears,CHI,CHI,NFC,NFC North,NFC,NFC Central
9,Cincinnati Bengals,Bengals,CIN,CIN,AFC,AFC North,AFC,AFC Central
10,Cleveland Browns,Browns,CLE,CLE,AFC,AFC North,AFC,AFC Central
11,Dallas Cowboys,Cowboys,DAL,DAL,NFC,NFC East,NFC,NFC East
12,Denver Broncos,Broncos,DEN,DEN,AFC,AFC West,AFC,AFC West
13,Detroit Lions,Lions,DET,DET,NFC,NFC North,NFC,NFC Central
14,Green Bay Packers,Packers,GB,GNB,NFC,NFC North,NFC,NFC Central
15,Houston Oilers,Oilers,TEN,OTI,AFC,,AFC,AFC Central
16,Houston Texans,Texans,HOU,HTX,AFC,AFC South,AFC,
17,Indianapolis Colts,Colts,IND,CLT,AFC,AFC South,AFC,AFC East
18,Jacksonville Jaguars,Jaguars,JAX,JAX,AFC,AFC South,AFC,AFC Central
19,Kansas City Chiefs,Chiefs,KC,KAN,AFC,AFC West,AFC,AFC West
20,Las Vegas Raiders,Raiders,LVR,RAI,AFC,,AFC,AFC West
21,Los Angeles Chargers,Chargers,LAC,SDG,AFC,AFC West,AFC,AFC West
22,Los Angeles Raiders,Raiders,LVR,RAI,AFC,,AFC,AFC West
23,Los Angeles Rams,Rams,LAR,RAM,NFC,NFC West,NFC,NFC West
24,Miami Dolphins,Dolphins,MIA,MIA,AFC,AFC East,AFC,AFC East
25,Minnesota Vikings,Vikings,MIN,MIN,NFC,NFC North,NFC,NFC Central
26,New England Patriots,Patriots,NE,NWE,AFC,AFC East,AFC,AFC East
27,New Orleans Saints,Saints,NO,NOR,NFC,NFC South,NFC,NFC West
28,New York Giants,Giants,NYG,NYG,NFC,NFC East,NFC,NFC East
29,New York Jets,Jets,NYJ,NYJ,NFC,AFC East,NFC,AFC East
31,Oakland Raiders,Raiders,LVR,RAI,AFC,AFC West,AFC,AFC West
32,Philadelphia Eagles,Eagles,PHI,PHI,NFC,NFC East,NFC,NFC East
33,Phoenix Cardinals,Cardinals,ARI,CRD,NFC,,NFC,NFC East
34,Pittsburgh Steelers,Steelers,PIT,PIT,AFC,AFC North,AFC,AFC Central
35,San Diego Chargers,Chargers,LAC,SDG,AFC,AFC West,AFC,AFC West
36,San Francisco 49ers,49ers,SF,SFO,NFC,NFC West,NFC,NFC West
37,Seattle Seahawks,Seahawks,SEA,SEA,NFC,NFC West,AFC,AFC West
38,St. Louis Cardinals,Cardinals,ARI,ARI,NFC,,NFC,NFC East
39,St. Louis Rams,Rams,LAR,RAM,NFC,,NFC,NFC West
40,Tampa Bay Buccaneers,Buccaneers,TB,TAM,NFC,NFC South,NFC,NFC Central
41,Tennessee Oilers,Oilers,TEN,OTI,AFC,,AFC,AFC Central
42,Tennessee Titans,Titans,TEN,OTI,AFC,AFC South,AFC,AFC Central
43,Washington Commanders,Washington,WAS,WAS,NFC,NFC East,NFC,NFC East
44,Washington Football Team,Washington,WAS,WAS,NFC,NFC East,NFC,NFC East
45,Washington Redskins,Washington,WAS,WAS,NFC,NFC East,NFC,NFC East
